subject_id,session_id,age,sex,site,breed,weight (kg),global_total_cortvol,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,18138.105944510684,1100.2839901903103,3084.6496630295837,832.039573078411,171.8463698613348,2877.041938632339,121.41295516976187,1951.7432401926224,6072.962487264062,1926.1257270922579
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,18457.423215987084,1151.5064336480314,3136.602592725698,862.3643828089278,163.01649883960778,2964.0300978651626,148.0271604760043,1986.4183297206357,6020.55107115388,2024.906648749136
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,18270.601082214835,1105.4009172998947,3089.425969867245,838.6451767604134,164.71793082330527,2924.621934445708,130.9671224117847,1996.3997395395213,6038.3929058837075,1982.0293851832548
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,18396.29315672159,1132.1115033640278,3118.0258754200513,818.5159310683673,173.33807843219756,2906.3403774244525,101.49164811316963,1998.1458588377109,6161.437305507685,1986.886578553926
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,18439.955629434855,1134.1432882013535,3115.9928463754964,850.0738114070865,164.93589837201628,2932.391822897308,162.36105157250856,1975.4989070893855,6058.028287408447,2046.5297161112567
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,18347.40602723374,1106.2154558446828,3097.9138177733216,826.9758169924845,167.64923159941094,2875.9671220808696,118.06285454739887,1962.9774637614214,6166.285834283808,2025.3584303503428
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,18494.373056121716,1120.4021514283506,3133.536897696715,825.4864267062679,183.75736861884116,2916.9005145482756,128.99939512181678,2001.1754130823203,6189.009854274144,1995.1050346449856
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,18595.373932028477,1141.5568941733775,3110.794203762049,874.4146751579399,164.35549796273207,2942.8284668445162,160.290102696415,2012.3798388444945,6162.215287639462,2026.5389649474896
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,16764.68009057806,1083.8898040319302,2720.926003367469,779.4145956953842,135.44925678649025,2575.3508136608543,124.46965119136583,1865.3166166738604,5761.34311510767,1718.5202340630353
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,16593.349862907227,1076.6651362403404,2706.264192618641,744.097611617078,141.79231797782444,2589.5560430228506,128.00945860076735,1847.3342312229531,5649.911380743643,1709.7194908631286
sub-032218,ses-003,5.0,M,ohsu,Macaca mulatta,,16806.118101731332,1062.8179117821812,2818.749790706661,714.2385783696412,154.47317495666988,2710.115615646409,164.64138180250725,1827.648272369336,5670.03308726733,1683.4002888305968
sub-032218,ses-004,5.0,M,ohsu,Macaca mulatta,,16646.55523279069,1080.805022663635,2691.7074940194893,773.2360928384594,140.56349572040568,2574.3604700426235,135.21903099512213,1840.1289938175776,5728.8768979122515,1681.657734781127
sub-032218,ses-005,5.0,M,ohsu,Macaca mulatta,,16974.887562523443,1091.4015037818208,2738.9956289893003,707.0130779230013,155.5022824577659,2688.217129042811,132.01295272720313,1875.135429896007,5841.167817136261,1745.4417405692727
sub-032218,ses-006,5.0,M,ohsu,Macaca mulatta,,17034.248720015596,1097.531547249173,2828.8310741833666,806.2376257434042,138.19572965623078,2598.9828304073267,78.58830001257645,1862.0895593979606,5908.040334611159,1715.7517187543997
sub-032218,ses-007,5.0,M,ohsu,Macaca mulatta,,16821.955585960157,1054.4739156158823,2796.3768653921525,769.0824226194853,151.07559549812026,2628.895271306938,144.95506135308136,1839.693899732915,5754.846734571732,1682.5558198698504
sub-032218,ses-008,5.0,M,ohsu,Macaca mulatta,,17060.48791377309,1101.146904214559,2805.1450475616207,836.6378204658224,133.55532078560046,2621.625270623813,119.63909178719999,1907.7422146575639,5826.493564075561,1708.5026796013503
