subject_id,session_id,age,sex,site,breed,weight (kg),global_invalid_ratio,global_invalid_vertices,global_mean_sulc,global_total_vertices,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.32360947132110596,32492,0.7610388272394129,-0.1853185078730281,0.8194047806568235,-3.927492108369358,0.09464006903309119,0.6802601761716817,-0.2811267671793302,-0.5288358022867692,-1.1367174551433121
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.3115289807319641,32492,0.8257998629571471,-0.1370217918224075,1.0681667692228334,-3.7713492164617457,0.0564294919981955,0.271040441528894,-0.3903720766660184,-0.5124221439383101,-1.0912176169279892
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.3287866413593292,32492,0.6187292018583006,-0.10471048016852177,0.8989504246874161,-3.9230107135735803,0.13588861622001844,1.1954385318074907,-0.4416803981363471,-0.5673539294989682,-1.0298768466824653
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.27888840436935425,32492,0.7058251852306191,-0.11825300237564805,0.8440508918407517,-4.01699789190424,0.24695505639317814,0.6945084037525313,-0.21861254000106226,-0.46055917810043323,-1.2936703456820027
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.3236192762851715,32492,0.9319372485200615,-0.15408248580881492,1.0069092876222538,-4.187414000341111,0.21867292344284348,0.42436471600085496,-0.29746932328531817,-0.5777580212056421,-1.2289698476028328
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.3294501304626465,32492,0.6982481211913433,-0.08543429063721734,0.9071718160763825,-4.072938121927238,0.236370175434863,0.7315971677431038,-0.3825180632036015,-0.5973234264469613,-1.1171773905170574
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.3536515533924103,32492,0.6119710606718135,-0.19790216510398978,0.663658601008473,-4.076765690630519,0.144658159333033,1.0661136925593018,-0.23183049711536802,-0.5494112593891913,-1.3569423598960684
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.28858304023742676,32492,0.8136488390278038,-0.10875609926462519,0.7898354333111619,-3.864411357023433,0.267858445799113,0.971721736405577,-0.2929000958383479,-0.5103414296301909,-1.227129063481385
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.38888368010520935,32492,0.8503596201224275,-0.22495353031616463,0.8258522111248949,-4.259152356736444,0.09677515510398708,0.5940507985545056,-0.50528308681608,-0.5303299034093214,-1.4840336531674194
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.33627429604530334,32492,1.0233853176902554,-0.2925971363991946,0.9345286994003946,-4.412228092991921,0.27133496485815156,0.7310667040742868,-0.3552766038465461,-0.4566406671972406,-1.6248809568608644
sub-032218,ses-003,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.35520610213279724,32492,0.8520798701321832,-0.22745824885265922,0.817554815727245,-4.57513340728281,0.18348773609212987,0.8593083967428122,-0.48387269156653684,-0.48902568197750224,-1.3962510235658767
sub-032218,ses-004,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.368386834859848,32492,0.899388577916613,-0.2238556369633667,0.8349968953515822,-4.235454226935088,0.1690298906402214,0.8297778356713909,-0.5325234332252485,-0.49079762459709575,-1.537800053176048
sub-032218,ses-005,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.35312771797180176,32492,0.7265011117970803,-0.2615052446773571,0.7907513083301612,-4.405034191189598,0.2603388592605602,0.7295869288540312,-0.5277945556131852,-0.4482328382566112,-1.4102515171083787
sub-032218,ses-006,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.3891229033470154,32492,0.8452750639449205,-0.2334110673587184,0.6743945814514052,-4.211878421987416,0.2813258025180821,0.3753879646903702,-0.45844240224206395,-0.5435931795998381,-1.5885503537625292
sub-032218,ses-007,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.3703788220882416,32492,0.9273170473846085,-0.2928114689675078,0.6325925475633581,-4.367883618290857,0.2583124760629722,0.597180901372007,-0.5282379411025575,-0.4805313497993256,-1.445226227634743
sub-032218,ses-008,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,-0.40731239318847656,32492,0.7631136238394726,-0.2792550890040119,0.7643949816156008,-4.626673896423885,0.18197659697639967,0.3956317583258663,-0.5436315568918688,-0.5215944610179242,-1.5001500218168915
