subject_id,session_id,age,sex,site,breed,weight (kg),global_estimated_ICV_mm3,global_total_subcortical_vol_mm3,subvol_Cornea,subvol_L_Accumbens_area,subvol_L_Amygdala,subvol_L_Caudate,subvol_L_Cerebellum_Cortex,subvol_L_Cerebellum_White_Matter,subvol_L_Cerebral_Cortex,subvol_L_Cerebral_White_Matter,subvol_L_Claustrum,subvol_L_Hippocampus,subvol_L_Lateral_Ventricle,subvol_L_Pallidum,subvol_L_Putamen,subvol_L_Substancia_Nigra,subvol_L_Thalamus_Proper,subvol_L_VentralDC,subvol_T_Accumbens_area,subvol_T_Amygdala,subvol_T_Caudate,subvol_T_Cerebellum_Cortex,subvol_T_Cerebellum_White_Matter,subvol_T_Cerebral_Cortex,subvol_T_Cerebral_White_Matter,subvol_T_Claustrum,subvol_T_Cornea,subvol_T_Hippocampus,subvol_T_Lateral_Ventricle,subvol_T_Pallidum,subvol_T_Putamen,subvol_T_Substancia_Nigra,subvol_T_Thalamus_Proper,subvol_T_VentralDC
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,100205.125,8629.625,194.375,103.0,280.25,703.625,2758.75,1524.875,21231.375,10807.25,253.375,498.375,481.875,386.875,838.75,104.5,1130.625,232.375,209.625,570.125,1438.0,5363.625,2999.5,42479.375,21705.0,519.5,194.375,992.875,943.375,783.5,1683.5,210.75,2267.75,473.5
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,100420.875,8672.625,206.5,112.625,285.375,701.0,2766.125,1544.0,21244.75,10822.75,248.75,502.5,481.75,383.5,845.5,105.25,1140.375,237.125,217.875,573.5,1431.25,5347.125,3013.875,42577.125,21792.5,505.0,206.5,997.375,932.25,778.625,1708.125,212.375,2279.625,473.875
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,100359.625,8623.5,201.0,109.875,280.75,695.125,2751.75,1526.125,21282.25,10753.875,247.25,509.25,473.375,380.5,847.125,106.375,1132.125,237.375,217.75,573.0,1424.0,5354.25,3014.625,42625.75,21680.75,500.125,201.0,1000.5,920.75,768.875,1695.5,215.5,2252.0,476.375
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,100250.375,8656.125,203.625,106.875,285.125,690.625,2770.625,1517.75,21187.75,10776.5,259.0,508.0,476.875,383.625,840.25,104.125,1135.375,240.625,215.75,576.75,1428.625,5381.5,3007.75,42457.875,21678.25,513.5,203.625,1010.875,929.375,772.0,1691.25,213.625,2271.875,475.375
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,101231.5,8703.5,201.125,108.375,284.75,701.375,2838.25,1561.25,21435.25,10923.0,256.125,499.625,479.5,393.0,846.875,110.125,1144.0,232.625,216.5,577.375,1439.875,5465.0,3049.125,42877.625,21923.0,511.375,201.125,993.625,941.75,792.0,1704.25,217.625,2291.75,470.5
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,100914.375,8692.125,199.25,104.875,287.0,694.75,2807.0,1559.0,21326.75,10866.25,255.25,498.25,473.0,390.5,843.625,109.875,1143.875,238.625,211.25,578.875,1433.25,5426.25,3050.25,42771.75,21862.0,505.375,199.25,1002.125,916.5,785.25,1700.625,220.125,2282.375,478.25
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,100904.875,8718.75,204.5,106.625,277.75,705.125,2781.5,1535.125,21298.875,10917.5,249.875,511.75,493.625,388.0,849.625,109.125,1136.875,242.125,216.625,570.125,1450.625,5403.125,3006.0,42708.75,21932.375,504.875,204.5,1012.375,953.5,785.0,1704.625,218.625,2278.25,482.5
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,101498.25,8734.375,207.0,109.25,277.75,699.625,2808.375,1552.375,21514.75,10934.0,250.75,504.0,496.5,391.875,856.0,111.375,1143.25,234.75,218.625,569.625,1448.625,5413.5,3065.75,43092.375,21977.625,514.25,207.0,1016.625,956.875,785.25,1712.125,221.0,2288.25,474.25
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,87490.75,7107.75,210.125,92.5,228.875,486.5,2651.25,1396.875,18313.375,9535.75,227.75,388.625,428.5,305.625,721.0,85.875,1010.875,205.25,180.25,460.875,1000.5,5141.375,2741.0,36610.5,19117.125,454.5,210.125,803.875,820.625,610.5,1451.25,171.5,2020.875,408.125
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,87038.5,7106.125,207.0,91.625,226.375,486.625,2659.75,1384.375,18191.125,9522.375,218.0,382.0,421.75,311.125,720.375,82.875,1007.25,205.375,178.375,456.5,1006.875,5131.0,2729.25,36378.25,19029.625,450.125,207.0,796.625,805.0,614.625,1447.5,167.75,2026.75,411.125
sub-032218,ses-003,5.0,M,ohsu,Macaca mulatta,,87682.125,7138.625,208.625,94.5,232.125,485.25,2660.375,1389.875,18355.875,9571.125,228.25,387.375,427.25,313.5,717.125,86.0,1012.5,207.5,182.625,465.875,1005.625,5134.625,2723.5,36701.0,19173.75,451.625,208.625,800.875,812.75,625.875,1443.0,170.875,2026.625,417.25
sub-032218,ses-004,5.0,M,ohsu,Macaca mulatta,,87349.5,7136.5,214.625,91.25,229.5,484.375,2636.75,1390.625,18271.625,9512.75,226.75,391.875,423.625,310.625,715.75,86.75,1021.25,207.625,176.0,464.5,998.75,5121.875,2735.75,36551.625,19082.875,445.75,214.625,803.25,806.375,616.875,1447.5,171.375,2048.0,410.25
sub-032218,ses-005,5.0,M,ohsu,Macaca mulatta,,87660.75,7150.375,208.5,90.375,230.375,486.375,2643.25,1390.75,18368.25,9576.125,224.0,393.5,424.25,311.0,720.625,82.875,1016.25,211.5,176.0,466.875,1010.25,5136.125,2748.125,36693.75,19143.375,446.875,208.5,811.75,818.0,621.0,1450.125,166.75,2030.625,417.0
sub-032218,ses-006,5.0,M,ohsu,Macaca mulatta,,88257.5,7150.75,211.625,91.75,235.75,495.625,2668.5,1403.625,18509.125,9635.125,229.75,388.625,435.125,313.5,718.625,85.125,1008.75,210.0,179.0,471.125,1017.0,5185.0,2755.75,36991.125,19314.625,457.375,211.625,800.875,826.375,623.75,1441.125,172.125,2031.25,414.5
sub-032218,ses-007,5.0,M,ohsu,Macaca mulatta,,87725.375,7155.625,209.5,93.5,235.0,487.75,2642.375,1407.375,18413.375,9542.625,221.25,392.0,432.25,312.0,721.25,89.75,1024.75,207.0,181.125,466.375,1004.0,5132.875,2754.25,36772.25,19137.875,443.375,209.5,807.625,814.25,616.625,1442.5,175.0,2043.5,418.875
sub-032218,ses-008,5.0,M,ohsu,Macaca mulatta,,88280.75,7189.375,218.375,94.125,233.625,492.75,2666.625,1412.125,18499.875,9625.75,233.375,390.5,422.875,313.125,726.625,83.875,1019.625,213.875,179.125,470.0,1014.75,5186.5,2771.375,36935.75,19309.875,455.0,218.375,810.0,816.125,617.25,1465.875,167.875,2043.0,421.5
